episode_number,host,bright_spot
417,Jordan,John Cena and Bray Wyatt Firefly Fun House match
418,Dan,"The FDA sending Alex a cease and desist letter about his various claims, especially concerning his silver products."
418,Jordan,"Pets, taking pictures of them, cue positions, and drawing on them."
419,Dan,Aspirational lasagna making
419,Jordan,Final Fantasy VII Remake
420,Dan,Discovering fudge batter M&M's and wild heat jerky were surprisingly good.
420,Jordan,"Finishing the final manuscript of book titled ""The Quiet Part Loud""."
421,Dan,Walking a mile to get to the podcast and a mile back.
421,Jordan,Taking long walks for sanity.
422,Dan,Appearing on the Truth Wanted podcast with Daniel Earls.
422,Jordan,"Listening to music, including Annie Lennox and the soundtrack to the 1984 Dune movie by Toto."
423,Dan,Corona Relief Done Quick Video Game Fundraiser
423,Jordan,AHA Cherry Coffee Seltzer
424,Dan,Aspiring to improve health and habits via the 'Year of the Seltzer'.
424,Jordan,Finding an unexpectedly delicious yogurt pairing with Chocolate Lucky Charms.
425,Dan,"Receiving homemade masks from Anna, including one for Jordan and his partner. Receiving hot sauces from Matouks via ""definitely not health ranger John,"" including Trinidad scorpion sauce."
425,Jordan,Rediscovering love of brisket and enjoying a meat coma.
426,Dan,"Andy Daly's new album, For More Sweaters, and new podcast, Bananas for Bonanza, both released over the weekend."
426,Jordan,"Personal growth; transforming from a ""giant shitbag"" into a slightly less giant one."
427,Dan,Rearranging living room (removed table)
427,Jordan,Rearranging apartment (moved bed for less noise)
428,Dan,Realizing chicken can be cooked in the oven.
428,Jordan,Rediscovering the red mask rendition of Dave Attell's Skanks for the Memories.
429,Dan,Enjoying white chocolate peanut M&M's for the first time.
429,Jordan,"Baking chicken breasts and experimenting with marinades, leading to a newfound enthusiasm for cooking and the prospect of making lasagna."
430,Dan,Adventure Time
430,Jordan,Thinking about the idiom 'a cup of coffee' to describe a short period of time.
431,Dan,Eating Crispy Crepe cookies
431,Jordan,"Playing card games (spades, heads up poker)"
432,Dan,Nice recommendations for seltzers to try
432,Dan,Tolerance of dissenting opinions about seltzer enthusiasm
432,Jordan,Dennis Rodman's awesomeness and defiance of anti-queer moralizing
433,Dan,Enjoying the nice weather in Chicago after a long winter.
433,Jordan,Rediscovering old music that was previously overplayed.
435,Dan,Rediscovering love for the band Kings of Convenience and reminiscing about a concert in Detroit
435,Jordan,Getting together with old buddies on Zoom and playing games
436,Dan,Preparing a Bill Cooper episode containing unexpectedly exciting information
436,Jordan,"New couch looks great, despite morning fight and missing cushions"
437,Dan,Watching videos of an ex-convict discussing life in prison.
437,Dan,Appreciating the ingenuity of people in prison.
437,Jordan,Partner received masks from Black Dragon Queen Christy that fit perfectly.
438,Dan,"Rediscovering Five Iron Frenzy and Jeff the Girl's new synth-pop project, The Fast Feeling"
438,Jordan,Partner is almost done watching 'How to Get Away with Murder'
439,Dan,Renormalization of sleep rhythm after staying up late.
439,Jordan,Discovering Tupperware can be used to shake sauce onto food.
440,Dan,Getting approved for a new apartment
440,Jordan,Thousands of people marching peacefully in Uptown
441,Dan,Moving to a new apartment
441,Dan,Potential for acquiring a second animal companion
441,Jordan,RTJ4 album release
442,Dan,"Watching the TV show Alone, particularly the construction of shelters within the show."
442,Jordan,Audience engagement leading to rethinking pet options and considering another cat or a mantis.
443,Dan,Getting through the backlog of Seltzers in the fridge
443,Dan,A new entry in the top five Seltzers: Petal's Elderberry White Tea Flower
443,Jordan,Playing Horizon Zero Dawn
443,Jordan,Enjoying the storyline and mechanics of the game
444,Dan,Helping a woman being harassed by a Proud Boy-type with his stick ball team
444,Jordan,Zen moment with Xfinity customer service representative
445,Dan,Tlenti gelato (caramel truffle)
445,Jordan,Slapstick comedy (partner dropping eggs)
445,Jordan,"Pancakes, bacon, and eggs for dinner"
446,Dan,Having a junk drawer
446,Jordan,Riding the train
446,Jordan,Experiencing the wobble-wobble of the L
447,Dan,Experimenting with alternative milks (almond and oat milk specifically).
447,Dan,Exploring healthier options and moving (slightly) towards vegetarian/veganism.
447,Jordan,"New iCloud shirt from Flooding Factory, made by partner's friend."
447,Jordan,"Appreciating the work of the talented, over-educated artist behind the shirt."
448,Dan,Taking a nap on perfect grass under the sun
448,Jordan,Receiving a housewarming gift of very hot sauces
449,Dan,Reached 152 seltzers in the Year of the Seltzer milestone.
449,Dan,Discovered new and enjoyable seltzer brands and flavors that would have been previously overlooked.
449,Jordan,Finished Horizon Zero Dawn and played the Frozen Wilds DLC.
449,Jordan,Excited about the upcoming sequel.
450,Dan,Receiving a copy of the Illuminati board game
450,Jordan,Never reading The Atlantic again
451,Dan,"Anthony from Michigan sent some seltzers, which were enjoyed. Especially the lime flavor."
451,Jordan,"i9 finally followed Jordan on Twitter after Jordan recommended Avatar: The Last Airbender, which i9 then watched."
452,Dan,Being right about the Good and Gather Mint Cucumber Seltzer
452,Dan,The disgustingness of the seltzer reminds of a past prediction
452,Jordan,Arca's new album release
452,Jordan,A Bjork collaboration that is concentrated Bjork
453,Dan,"New Knowledge Fight merch: mugs, magnets, and tapestries with an emotional support pelican."
453,Jordan,Enjoying the small things.
453,Jordan,Customizing the apartment with shelves and plants.
453,Jordan,Seeing the walls as possibilities instead of confinements.
454,Dan,Trying to make peace with coconut
454,Dan,"Specifically, discovering and enjoying coconut milk yogurt"
454,Jordan,The comedian David O'Daugherty
454,Jordan,"Specifically, going back and watching old David O'Daugherty specials"
455,Dan,Playing Mortal Kombat with partner
455,Dan,Partner learning how to play Mortal Kombat
455,Jordan,Growing various vegetables
455,Jordan,The smell of dirt
456,Dan,"Receiving a handcrafted knife from a listener, a gift card from another listener."
456,Jordan,Playing tennis for the first time in 10 months.
457,Dan,"Putting his book, 'The Quiet Part Loud,' out into the world"
457,Jordan,Competence
457,Jordan,Solving problems like installing an AC unit and sealing windows
458,Dan,Receiving a care package from a listener in the UK containing tonic water and hot sauce.
458,Dan,Receiving a letter simply to ensure he gets mail.
458,Jordan,Releasing the book and the overwhelmingly positive response.
459,Dan,Condolences and support received for his aunt's passing.
459,Dan,A donation was made in his aunt's memory to St. Jude's by a listener.
459,Jordan,"Wayfair customer service went above and beyond, expressing sympathy for a broken couch and offering a replacement part with a 20% discount."
459,Jordan,Jordan realized that he is not allergic to avocados and that he likes hot sauce.
460,Dan,Letter from Lucy thanking them for recognizing the Green Bank Telescope
460,Dan,"Care package from Rosemary and Renee, including vegan jerky, spicy shark hot sauces, and seltzers"
460,Jordan,"Major League Baseball returning, despite moral concerns"
460,Jordan,"Received a 12-pack of Sanzo Seltzer from Lena, excited to try lychee flavor"
461,Dan,The Cubs winning their opener of the MLB season
461,Jordan,Rediscovering Hyrule Warriors
462,Dan,Receiving a Rishi Seltzer sampler pack from Amy along with treats for Selene and pet grass.
462,Dan,Trying Polar Seltzers and discovering that Perfectly Plum Summer is a surprise winner at 82 out of 100.
462,Jordan,"Molly C, socialistdogmom on Twitter, is out of lockup and dealing with legal matters. Despite her situation, she remains a net positive and is fighting against fascism."
463,Dan,Zion Williamson returning to play NBA basketball.
463,Jordan,A YouTube channel called Timba on Toast's video series about James O'Keefe and the history of Project Veritas.
464,Dan,Trying Nashville hot chicken flavored Lay's potato chips.
464,Jordan,Spending time with family at a golf-like game with targets.
465,Dan,Finding Carolina Reaper peppers at the grocery store
465,Jordan,Discovery of Rand Paul's alleged kidnapping incident
466,Dan,Planning to get a praying mantis pet named Old Mantis House Phone
466,Dan,Receiving shirts with cool artwork
466,Jordan,Started recording audiobook
466,Jordan,Receiving shirts with cool artwork
467,Dan,Acquiring a phone number for the show to allow listener voicemails.
467,Dan,Trying Birch Tree Water Seltzer
467,Dan,Charles sending Birch Tree Water
467,Jordan,New album by Washed Out is fantastic.
467,Jordan,Opportunity to do a real deep listen of the new album.
468,Dan,A tiny bonsai plant emerging from the soil after a storm
468,Jordan,New Earth Defense Force designs by Emily available for purchase
469,Dan,Receiving a SodaStream machine in the mail
469,Jordan,Rediscovering utter joy with Extra Crunchy Peanut Butter
470,Dan,Cucumbers growing in apartment are flowering.
470,Jordan,Attending aunt's memorial after initial time mix-up; getting to the memorial was the bright spot.
471,Dan,New office chair
471,Jordan,Finished Ghosts of Sashima
472,Dan,"Plants (Peppers, peas, cantaloupe, pak choi)."
472,Jordan,"The new album by Glass Animals, specifically the song Waterfalls Out Your Mind."
473,Dan,Finding a bird's nest with baby birds in the laundry room.
473,Jordan,The return of tennis (despite the irresponsibility) and admiration for Shapovalov.
474,Dan,"Receiving a package of candies and chocolates from the UK, invoking fond memories of his father's travels"
474,Jordan,"Wearing a headband and realizing it's amazing, breaking gender biases"
475,Dan,Installed makeshift lattice for vine plants
475,Dan,Planning to get involved with community garden
475,Dan,Seeing seedlings come up and cucumbers growing
475,Dan,Enjoying the Grapefruit Hibiscus seltzer
475,Jordan,Cobra Kai on Netflix
476,Dan,Olive Garden Italian dressing from the grocery store.
476,Jordan,"Greatest concert ever at the Chicago Theater, seeing Seger Rose."
477,Dan,"The cantaloupe plant is thriving after Dan stopped micromanaging it, demonstrating the importance of balancing care with allowing things to be."
477,Jordan,"Colt Cabana, on the Doughboys podcast, expressed the same aversion to eating anything out of the sea, making Jordan feel seen and appreciated for his long-held stance."
478,Dan,Djokovic being out of the US Open
478,Dan,Somebody under the age of 25 is probably going to win a major
478,Jordan,Playing Tony Hawk 1 and 2 remastered
478,Jordan,The fluidity of the controls
478,Jordan,The ability to just skate around
479,Dan,Bought a little anthurium flower to brighten up his desk.
479,Jordan,Quit smoking cigarettes after the pandemic caused a brief return to the habit.
480,Dan,Quinoa seedlings growing into viable plants
480,Dan,Cucumbers are killing it
480,Dan,Pepperoncinis are looking gorgeous
480,Jordan,Telling his partner about the St. Crispin's Day speech and its inspiring effect
480,Jordan,Talking about the Shakespeare is a woman conspiracy theory
481,Dan,Dominic Thiem winning the U.S. Open.
481,Jordan,Successfully helping a woman navigate a difficult parking situation in an alley.
482,Dan,Received Lionel materials from listeners.
482,Jordan,Partner received a good birthday gift.
483,Dan,"Receiving a knife from a listener, Chris (Policy Wonk), as a thank you for the podcast."
483,Jordan,"Successfully pollinating a cucumber plant, with the hope of turning it into a pickle."
484,Dan,Went for a long walk along the lakeside with partner.
484,Dan,Enjoyed the beautiful view of the city skyline from the lake edge.
484,Jordan,Decided to get into indoor apartment composting.
484,Jordan,Ordered a bag of worms to eat leftover lettuce.
485,Dan,Weighted blanket for thunderstorms
485,Dan,Weighted blanket as body pillow
485,Jordan,Karaoke in the privacy of home
485,Jordan,Belting out Space Oddity
486,Dan,The French Open beginning and the Chicago Cubs clinching a post-season berth.
486,Jordan,"Cucumber plant finally producing fruit, enabling him to eat something he grew himself."
487,Dan,"Received gifts from listeners: ghost pepper popcorn, a Japanese schoolgirl role-playing game, and an original flyer for a concert at Bohemian Grove honoring George Bush Sr."
487,Jordan,"Dog, Fanny, is doing great healthwise."
488,Dan,New recording setup
488,Dan,Future prospects for recording and streaming
488,Jordan,Playing The Last of Us
489,Dan,Reinvigorated by new recording setup and working on a secret project.
489,Jordan,"Partner loved the edible arrangement, despite early delivery."
490,Dan,"His worm farm thriving, turning food waste into fertilizer and making composting more exciting."
490,Jordan,Rafa Nadal winning his 13th French Open.
490,Jordan,Getting a second unexpected delivery of chocolate covered strawberries.
491,Dan,A new Pikmin game is coming out soon and excited about it. Also the Hyrule Warriors Age of Calamity game.
491,Jordan,"The final season of Kipo in the Age of the Wonderbeasts came out, a show with ridiculous positivity and a great soundtrack."
492,Dan,Ourobora cactus rose seltzer.  Other flavors from Ourobora that have been great: basil berry and watermelon peppermint. Thanks to Amani and Valerie.
492,Jordan,"Halloween chocolates airbrushed and painted so beautifully and perfectly with all of these really complex and interesting flavors. Like those seltzers, there was one that was like a limoncello cake thing, and it just had the lightest of chocolate coverings around it, and you opened a bite, and it tasted exactly like you had just eaten a little piece of cake with a tiny bit of chocolate on top."
493,Dan,Splurged on a button maker for the show.
493,Dan,Buttons are a cool way to connect with listeners.
493,Jordan,Open Mike Eagle's new album is released and incredible.
493,Jordan,Album reminds him of a green room conversation where comedians balance dark stories with humor.
494,Dan,"Forgiveness for Selene, the cat, destroying pinto bean plants."
494,Jordan,The cantaloupe plant lasted longer than any plant previously cared for.
494,Jordan,A newfound nurturing attitude towards plants has developed.
495,Dan,"Wearing a mask in the winter, keeping face warm and protected from wind."
495,Jordan,"Having a game night with Dan, strengthening their friendship outside of work."
496,Dan,Cooking pork chops and baby broccoli
496,Dan,Perfecting meal preparation timing
496,Jordan,Garlic cloves sprouting in the garden
496,Jordan,Peas coming along well
497,Dan,Playing a mod for Civilization 4 based on the game Master of Magic
497,Jordan,Playing Pikmin 3 Deluxe
497,Jordan,Anticipating Assassin's Creed Valhalla and Age of Calamity Zelda
498,Dan,Watching the Mandalorian season 2.
498,Jordan,Playing Pikmin 3 on the Switch.
499,Dan,"Thriving worm farm, aided by a new mini chopper for food preparation"
499,Jordan,Thoughtful and kind bonus episode created by Dan
500,Dan,"Being invited by a listener, Sarah Beth, to do a Q&A session with a college course she teaches."
500,Jordan,Jordan's audiobook is finished and available for download.
501,Dan,Discovering music from Malawi
501,Jordan,Playing Assassin's Creed Valhalla
502,Dan,Homesteading aspect of Assassin's Creed Valhalla.
502,Jordan,One Leslie Jones hosting the reboot of Supermarket Sweep.
503,Dan,"Discovering the diverse world of vinegars, particularly strawberry rosé vinegar, and planning to explore more unusual varieties."
503,Jordan,"Peanut butter from Fit in Fog, remarkable taste reminding Jordan what real food tastes like."
504,Dan,Acceptance that he no longer enjoys extremely spicy food.
504,Jordan,"Piano solos, particularly by Keith Jarrett."
505,Dan,Finding a One Punch Man reference in Assassin's Creed Valhalla.
505,Dan,Knowing Age of Calamity (Hyrule Warriors) is available but not feeling pressured to play it.
505,Jordan,Starting a new Instagram account called Plant Underscore Fight to post pictures of plants.
506,Dan,Fond memories of loved ones.
506,Dan,Weird things to eat or drink from overseas.
506,Dan,Grateful for many things.
506,Jordan,No regrets about a loved one who passed away. Everything went how it was going to go.
506,Jordan,Aunt died the way she wanted to; skipping out the door.
507,Dan,"Post-holiday glow from Cognitive Dissonance's live stream, raising money for the Senate campaign"
507,Jordan,"Lovely holiday with Dan, playing board games"
507,Jordan,"New raptor princess, Kranat, created a perfect book cover"
508,Dan,Visited a board game store and is looking forward to playing cooperative board games with friends.
508,Jordan,Playing Assassin's Creed Valhalla and experiencing moral choices within the game.
509,Dan,Ordering Taco Bell delivery.
509,Dan,Trying the aged cheddar chalupa.
509,Dan,Finding enjoyment in the 'terrible' yet delicious aged cheddar chalupa from Taco Bell.
509,Jordan,The return of a beloved character in the most recent episode of The Mandalorian.
509,Jordan,Enjoying the junk food aspects of the second season of The Mandalorian.
510,Dan,"The movie *Wild Mountain Time*, an inexplicable Irish story with Christopher Walken doing voiceover in a terrible Irish accent and a bizarre, mind-blowing plot point. The movie isn't good or bad, it just *is*."
510,Jordan,"Follow-up on bonus episode, especially the nanoblocks and fizzy jelly chocolate. The nanoblocks were a relaxing, zen-like experience. The fizzy jelly chocolate was balanced and surprisingly delicious."
511,Dan,Exploring the world of novelty cereals
511,Jordan,The Avalanche releasing a new album
512,Dan,Taylor Swift
512,Jordan,Recognition that this will be looked upon as the week of too much of Jordan and Dan.
512,Jordan,Bringing up new information about an invention from Goldwater on Behind the Bastards.
513,Dan,Attempting to make round egg cutouts from sheet metal
513,Jordan,The season finale of The Mandalorian
514,Dan,Playing the original Final Fantasy VII
514,Jordan,Rolled Gold savory butter pretzels
515,Dan,The coincidence of two people from Sweden coordinating shout-outs for each other without knowing about it.
515,Jordan,Two lovely dogs and drawing fanciful pictures around them.
516,Dan,"Completed his latest nanoblock sculpture of Easter Island Heads, enjoying the connection to islands and the wonder of the statues."
516,Jordan,"Bred the 7,000th Gold Chocobo in FF7, his fastest ever, marking the end of his usual playthrough."
517,Dan,The Knowledge Fight show anniversary and still working on it with Jordan.
517,Jordan,New glasses (despite accidentally buying the exact same frames as the old ones).
518,Dan,Parents surviving COVID without hospitalization
518,Jordan,Playing the video game Hades
519,Dan,New Miskatonic University hoodies.
519,Jordan,Games Done Quick raising over two million dollars.
520,Dan,"Received a box of candy containing Velvet Crumbles, which he enjoyed immensely, prompting him to order more."
520,Jordan,"Bought partner South African flowers and a vase for their anniversary, which she loved."
521,Dan,"Electric drum kit, soundproofing project"
521,Jordan,"New microphone, smooth windscreen"
522,Dan,Received second installment of Policy Wonk Lisa's Hot Sauce of the Month Club
522,Dan,Enjoyed the challenging and spicy FYM sauce on chicken nuggets
522,Jordan,Got equipment working for streaming video games
522,Jordan,Successfully streamed Final Fantasy 7 remake
523,Dan,Overcoming video game difficulty: Persisting through a challenging Lovecraft-themed game and achieving a sense of accomplishment.
523,Jordan,"Failure: An opportunity to learn new skills and appreciate the process of improvement, reminiscent of the early struggles with stand-up comedy."
524,Dan,"Sponge candy from Romolo and Stefanelli's in Erie, Pennsylvania"
524,Jordan,Received a better EPUB and MOBI conversion of book from Old Man Sitko
524,Jordan,Re-listened to Feist's version of Lover's Spit by The Broken Social Scene
524,Jordan,"Received a signed copy of The Long Dark Tea Time of the Soul by Douglas Adams from Amy, along with a survival heirloom seed vault and funny socks"
525,Dan,Partner getting her vaccine
525,Jordan,Joining the stream of the video game channel over on Twitch and having very little to say
526,Dan,Being able to record the podcast (albeit delayed) due to weather conditions preventing recording the previous night.
526,Dan,Watching a little bit of the Royal Rumble wrestling event.
526,Jordan,"Watching the movie 'PG: Psycho Gorman', a live-action cartoon that is occasionally funny in a dry, deadpan way, and incredibly terrible, but happy it exists."
527,Dan,Dunkin' Donuts mocha coffee flavored cereal
527,Jordan,"The new album by Madlib, Sound Ancestors, arranged by Fortet"
528,Dan,Finding a new genre of content: Alex Jones' weird Infowars.com commercial reads.
528,Jordan,Hearing from a listener that they and their partner discovered the show and waited until their 18th anniversary to reveal it to each other.
529,Dan,"Discovering letters in the P.O. box, including an amazing letter from Dr. Justin."
529,Jordan,"Finishing a two-month-long Taylor Swift project, involving listening to every one of her albums."
530,Dan,Eating mochi
530,Jordan,"Watching the Korean movie, The Swordsman"
531,Dan,Eating Pannino's Pizza
531,Jordan,Playing the video game Hades
532,Dan,Being able to record remotely with relative ease.
532,Jordan,"Snow day grocery store trips, lack of crowds"
533,Dan,Rice exploration.
533,Jordan,Partner received the second dose of the Pfizer vaccine.
534,Dan,Hot Sauce of the Month Club - Slow Death Hot Sauce.
534,Dan,Trinidad scorpion pepper based sauce flavor.
534,Jordan,"Chris Gethard show inspiration, unfettered creativity, not giving up on doing weird stuff."
534,Jordan,"Embracing the 'we're a public access show, we know no one's watching' mentality."
535,Dan,Cooking rice with garlic vinegar.
535,Dan,Making vegetables
535,Jordan,Knowledge Fight episode was rescued from technical issues in short order.
536,Dan,"Listening to a listener's pop punk album, Here's to Better Misery, and genuinely enjoying it."
536,Jordan,"Celebrating a friend's birthday with games over Zoom, resulting in a delightful night."
537,Dan,The upcoming 'Munch Madness' tournament on the Doughboys podcast.
537,Jordan,Thinking fondly of Natalie Alford and her past performances.
538,Dan,Starting to forgive himself for enjoying video games.
538,Jordan,New Mogwai album release.
539,Dan,Eating a perfectly ripe pear
539,Jordan,Hot honey
540,Dan,"Alex Jones's return from the grocery store, back to spewing predictable nonsense."
540,Jordan,H. John Benjamin and his long career of comedic talent
541,Dan,Has no bright spot but a new Coca-Cola with coffee beverage product to try.
541,Jordan,Finishing his Final Fantasy VII riff make project.
542,Dan,Tried Coca Cola with coffee (vanilla flavor).
542,Jordan,Played tennis on a beautiful day in Chicago.
543,Dan,A wonk named Pat helped find some old Alex Jones episodes.
543,Jordan,"Found a TV show called Wellington Paranormal, made by the same guys that did What We Do in the Shadows."
544,Dan,"First real junk drawer moment, finding AA batteries."
544,Jordan,"Support structure, including partner and Dan."
545,Dan,Godawful Movies podcast episode release
545,Jordan,Opening Day Baseball
545,Jordan,Shohei Ohtani
546,Dan,"Realized that Matt Gourley adds so much to podcasts and is a gentle, friendly balm to counterbalance Alex Jones"
546,Jordan,Ate a delicious pear some time ago
546,Jordan,Received a kind card from Black Dragon Queen Christy
546,Jordan,Really got into today's episode
547,Dan,Receiving a vaccine appointment
547,Jordan,Godspeed You Black Emperor releasing a new album
548,Dan,"Receiving the COVID-19 vaccine, initially feeling no side effects, but later experiencing a fever and joining the communal experience of side effects."
548,Dan,The rapper Bad Bunny at Wrestlemania had the best time.
548,Jordan,"A new TV show called Made for Love, featuring Ray Romano, who is incredible in it."
549,Dan,"Cat, Celine, plopped over on its side out of nowhere."
549,Jordan,Brockhampton has a new album.
549,Jordan,Discovered the show 'Superstore'.
550,Dan,Being featured in the New York Times.
550,Jordan,Love Crunch espresso vanilla cream granola inspired by the Italian affogato.
551,Dan,Not caring
551,Dan,The fear of Knowledge Fight being noticed has subsided
551,Dan,Getting a new theme song out of it
551,Jordan,"Taking an ecstatic bath with bath salts, the Cubs game on his computer, and his vape pen to his left hand"
552,Dan,Jordan staying humble.
552,Jordan,"Spending lovely time together watching *Mortal Kombat*, despite its lack of tournament."
553,Dan,"Listening to Methods of Mayhem, particularly the song 'Proposition Fuck You'."
553,Jordan,"Completing a new, as-yet-unrevealed project."
554,Dan,Feeling comfortable enough to check out a gym again.
554,Jordan,"Going to a ball game with cousin, a yearly tradition missed last year."
555,Dan,"Decided to cover an Alex Jones episode from May 7th, 2003, 18 years to the day of recording."
555,Dan,Catching up on the mailbag.
555,Jordan,Release of super-secret Pathfinder project.
555,Jordan,Enjoyed playing the Pathfinder campaign.
556,Dan,Attending first Cubs game in two years.
556,Dan,"Buying a blanket for a freezing fan at the game, recognizing a need and acting upon it (despite initial internal resistance)."
556,Jordan,Utilizing Knowledge Fight information in a real-world Lyft ride conversation to correct misinformation about China owning half of the U.S. debt.
557,Dan,"Visiting the witch store in Chicago and purchasing bath salts that promise psychic powers, though they remain unused out of caution."
557,Jordan,Rafa Nadal winning a tough match at the French Open against Shapovalov.
558,Dan,Receiving gifts in the mail
558,Jordan,Shohei Ohtani's unique baseball prowess
559,Dan,Taking a vacation for the first time in four and a half years.
559,Dan,Visiting childhood home in Honolulu.
559,Dan,Seeing sights like Aliyolani Elementary School and Waikiki Beach.
559,Jordan,The BIPOC staff and students at partner's school revolting against a racist principal.
559,Jordan,The students' sit-in and walkout.
559,Jordan,The students chanting 'protect our teachers'.
560,Dan,Surviving being locked out of home and getting food
560,Jordan,Watching the universally terrible but visually amazing Eurovision Song Contest
561,Dan,"Recording a fun and enjoyable episode of the D&D show, God's Damn Wizard, with friends."
561,Jordan,Watching the finale of the White Rapper show on VH1 and enjoying John Brown's performance.
562,Dan,Dogs going crazy when he got back from his vacation.
562,Dan,Realizing how much he loves his pets.
562,Jordan,Vacations can make you appreciate your day-to-day life.
562,Jordan,Getting back to work.
563,Dan,Breaking into Robert Evans' home and reading the manuscript for his upcoming book 'After the Revolution' finding it very good and impactful in its handling of violence.
